Periodo,nom_aglomerado,Nivel_Educativo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2021-T4,Gran Salta,Primaria Completa,53.45,50.67,5.2,528858.85
2021-T4,Gran Salta,Primaria Incompleta,5.7,5.35,6.09,377772.31
2021-T4,Gran Salta,Secundaria Completa,70.46,67.79,3.78,596716.11
2021-T4,Gran Salta,Secundaria Incompleta,40.54,37.42,7.68,512595.05
2021-T4,Gran Salta,Sin Instrucción,0.85,0.85,0.0,676108.58
2021-T4,Gran Salta,Superior Completa,81.7,77.02,5.73,1252055.27
2021-T4,Gran Salta,Superior Incompleta,61.4,55.6,9.44,758773.02
2021-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,49.27,44.15,10.4,450639.4
2021-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.31,11.56,6.06,475908.09
2021-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,64.28,58.43,9.11,699478.36
2021-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,37.76,32.86,12.96,480928.34
2021-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.48,1.48,0.0,146094.57
2021-T4,Gran Tucumán - Tafí Viejo,Superior Completa,75.66,74.58,1.42,1046555.56
2021-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,49.28,43.92,10.89,632554.35
2022-T1,Gran Salta,Primaria Completa,54.99,52.21,5.05,474627.22
2022-T1,Gran Salta,Primaria Incompleta,7.36,6.9,6.25,450397.85
2022-T1,Gran Salta,Secundaria Completa,67.95,63.32,6.81,678757.53
2022-T1,Gran Salta,Secundaria Incompleta,43.75,40.18,8.16,484981.93
2022-T1,Gran Salta,Sin Instrucción,0.82,0.82,0.0,154162.76
2022-T1,Gran Salta,Superior Completa,81.62,77.96,4.48,1320338.94
2022-T1,Gran Salta,Superior Incompleta,59.72,54.35,8.99,710510.57
2022-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,51.27,46.5,9.31,464744.51
2022-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.29,12.64,11.54,401298.71
2022-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,66.26,60.47,8.74,680753.41
2022-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,40.2,34.26,14.77,588670.17
2022-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,2.03,1.59,21.84,420248.64
2022-T1,Gran Tucumán - Tafí Viejo,Superior Completa,75.65,68.9,8.93,1199367.14
2022-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,51.61,47.23,8.49,752969.26
2022-T2,Gran Salta,Primaria Completa,55.42,52.66,4.99,450929.55
2022-T2,Gran Salta,Primaria Incompleta,9.26,9.26,0.0,423311.87
2022-T2,Gran Salta,Secundaria Completa,74.3,68.08,8.37,611585.92
2022-T2,Gran Salta,Secundaria Incompleta,43.82,40.48,7.62,501806.18
2022-T2,Gran Salta,Sin Instrucción,0.66,0.66,0.0,1434963.47
2022-T2,Gran Salta,Superior Completa,80.85,78.34,3.11,1140154.36
2022-T2,Gran Salta,Superior Incompleta,59.07,52.65,10.88,631135.83
2022-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,56.31,52.6,6.59,456342.82
2022-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.62,11.48,21.45,358556.39
2022-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,68.9,64.99,5.68,619671.33
2022-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.0,35.04,10.15,481856.83
2022-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.77,1.77,0.0,384863.94
2022-T2,Gran Tucumán - Tafí Viejo,Superior Completa,75.84,72.09,4.95,1031081.8
2022-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,56.06,52.0,7.24,721430.01
2022-T3,Gran Salta,Primaria Completa,51.96,48.28,7.08,498053.87
2022-T3,Gran Salta,Primaria Incompleta,6.3,6.3,0.0,467540.76
2022-T3,Gran Salta,Secundaria Completa,72.11,65.51,9.15,643116.83
2022-T3,Gran Salta,Secundaria Incompleta,38.05,34.06,10.48,505584.05
2022-T3,Gran Salta,Sin Instrucción,1.09,1.09,0.0,259738.2
2022-T3,Gran Salta,Superior Completa,77.82,75.83,2.56,1117600.2
2022-T3,Gran Salta,Superior Incompleta,54.2,49.99,7.77,644181.41
2022-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,57.22,52.78,7.76,445166.55
2022-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.53,11.74,6.3,458181.52
2022-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,69.64,64.76,7.02,603831.73
2022-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,31.4,27.82,11.41,427780.5
2022-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.8,1.26,29.82,637324.39
2022-T3,Gran Tucumán - Tafí Viejo,Superior Completa,70.93,68.71,3.13,900895.32
2022-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,53.94,50.3,6.75,608902.34
2022-T4,Gran Salta,Primaria Completa,51.24,50.39,1.65,473533.21
2022-T4,Gran Salta,Primaria Incompleta,9.12,8.89,2.55,327190.65
2022-T4,Gran Salta,Secundaria Completa,69.48,63.97,7.93,614390.55
2022-T4,Gran Salta,Secundaria Incompleta,43.37,40.01,7.74,473788.02
2022-T4,Gran Salta,Sin Instrucción,1.05,1.05,0.0,425553.77
2022-T4,Gran Salta,Superior Completa,83.03,79.18,4.64,1157224.88
2022-T4,Gran Salta,Superior Incompleta,59.34,56.07,5.52,665454.54
2022-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,49.9,48.15,3.51,459257.08
2022-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.18,13.18,13.19,432869.16
2022-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,67.7,60.83,10.16,570762.14
2022-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,36.89,33.61,8.88,448963.72
2022-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.56,0.86,44.91,492562.29
2022-T4,Gran Tucumán - Tafí Viejo,Superior Completa,75.47,71.45,5.32,1036232.7
2022-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,57.51,53.79,6.46,599234.11
2023-T1,Gran Salta,Primaria Completa,55.73,53.74,3.56,473684.51
2023-T1,Gran Salta,Primaria Incompleta,7.92,7.67,3.1,403665.63
2023-T1,Gran Salta,Secundaria Completa,71.8,66.6,7.24,656611.27
2023-T1,Gran Salta,Secundaria Incompleta,40.24,36.65,8.93,500743.68
2023-T1,Gran Salta,Sin Instrucción,0.55,0.55,0.0,152767.68
2023-T1,Gran Salta,Superior Completa,80.73,77.4,4.11,1274494.32
2023-T1,Gran Salta,Superior Incompleta,57.08,52.65,7.75,712650.66
2023-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,48.17,43.96,8.74,470167.87
2023-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.37,11.53,6.85,317809.91
2023-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,63.43,59.15,6.76,626378.76
2023-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,35.43,33.11,6.55,468769.57
2023-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.55,0.55,0.0,287203.24
2023-T1,Gran Tucumán - Tafí Viejo,Superior Completa,78.32,75.37,3.77,955615.61
2023-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,51.4,48.91,4.84,667290.08
2023-T2,Gran Salta,Primaria Completa,55.58,52.33,5.85,472239.55
2023-T2,Gran Salta,Primaria Incompleta,7.28,7.28,0.0,428511.37
2023-T2,Gran Salta,Secundaria Completa,73.88,69.45,6.0,615587.48
2023-T2,Gran Salta,Secundaria Incompleta,36.67,34.47,5.98,526329.8
2023-T2,Gran Salta,Sin Instrucción,0.69,0.69,0.0,1837510.93
2023-T2,Gran Salta,Superior Completa,77.0,74.91,2.72,1252671.84
2023-T2,Gran Salta,Superior Incompleta,54.49,51.39,5.68,603461.97
2023-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,50.46,47.92,5.02,414070.03
2023-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,11.57,9.13,21.1,443358.09
2023-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.38,59.95,8.31,629258.16
2023-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.67,35.22,8.91,477548.3
2023-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.09,1.09,0.0,245001.46
2023-T2,Gran Tucumán - Tafí Viejo,Superior Completa,73.73,70.45,4.44,914407.04
2023-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,59.85,56.23,6.05,614975.87
2023-T3,Gran Salta,Primaria Completa,52.41,50.67,3.32,405006.41
2023-T3,Gran Salta,Primaria Incompleta,7.17,7.17,0.0,433379.89
2023-T3,Gran Salta,Secundaria Completa,71.13,66.69,6.25,607846.87
2023-T3,Gran Salta,Secundaria Incompleta,38.38,35.88,6.51,471480.16
2023-T3,Gran Salta,Sin Instrucción,1.12,1.12,0.0,508145.88
2023-T3,Gran Salta,Superior Completa,76.4,74.77,2.14,1030279.97
2023-T3,Gran Salta,Superior Incompleta,55.02,51.88,5.72,574222.36
2023-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,57.54,53.52,6.99,464703.13
2023-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,9.3,9.3,0.0,379618.97
2023-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,71.89,65.66,8.67,557551.52
2023-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.94,37.79,5.38,422436.35
2023-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.7,1.7,0.0,362153.11
2023-T3,Gran Tucumán - Tafí Viejo,Superior Completa,79.73,76.98,3.45,875341.35
2023-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,59.54,56.09,5.79,680038.09
2023-T4,Gran Salta,Primaria Completa,53.55,51.66,3.53,405987.08
2023-T4,Gran Salta,Primaria Incompleta,5.67,5.67,0.0,344801.81
2023-T4,Gran Salta,Secundaria Completa,74.94,70.36,6.1,496395.04
2023-T4,Gran Salta,Secundaria Incompleta,39.32,37.52,4.58,404834.85
2023-T4,Gran Salta,Sin Instrucción,0.61,0.61,0.0,300657.88
2023-T4,Gran Salta,Superior Completa,81.36,79.23,2.62,1097492.6
2023-T4,Gran Salta,Superior Incompleta,62.24,57.79,7.15,573924.42
2023-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,58.02,54.74,5.65,429039.78
2023-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.48,12.48,0.0,351515.43
2023-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,68.71,63.73,7.24,508820.09
2023-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.5,36.45,7.7,379710.65
2023-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.0,0.0,0.0,0.0
2023-T4,Gran Tucumán - Tafí Viejo,Superior Completa,77.47,76.06,1.83,767046.36
2023-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,61.26,56.88,7.15,572956.26
2024-T1,Gran Salta,Primaria Completa,52.91,49.04,7.3,366176.71
2024-T1,Gran Salta,Primaria Incompleta,4.77,4.77,0.0,248030.45
2024-T1,Gran Salta,Secundaria Completa,69.73,67.14,3.72,516171.07
2024-T1,Gran Salta,Secundaria Incompleta,35.95,32.65,9.17,361066.85
2024-T1,Gran Salta,Sin Instrucción,1.4,1.4,0.0,230179.28
2024-T1,Gran Salta,Superior Completa,82.02,77.73,5.24,1090735.63
2024-T1,Gran Salta,Superior Incompleta,54.62,51.16,6.33,486488.91
2024-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,50.94,47.34,7.05,333073.66
2024-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,8.22,7.53,8.39,336663.84
2024-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.86,59.39,9.82,496775.75
2024-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,33.33,29.31,12.04,326007.44
2024-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.0,0.0,0.0,0.0
2024-T1,Gran Tucumán - Tafí Viejo,Superior Completa,74.0,70.42,4.84,668206.93
2024-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,59.02,54.21,8.15,442910.19
2024-T2,Gran Salta,Primaria Completa,46.75,46.16,1.26,440102.99
2024-T2,Gran Salta,Primaria Incompleta,5.23,4.63,11.48,498794.07
2024-T2,Gran Salta,Secundaria Completa,72.55,68.75,5.24,528540.68
2024-T2,Gran Salta,Secundaria Incompleta,36.36,34.38,5.43,464387.47
2024-T2,Gran Salta,Sin Instrucción,0.71,0.0,100.0,0.0
2024-T2,Gran Salta,Superior Completa,77.27,74.47,3.63,1020955.52
2024-T2,Gran Salta,Superior Incompleta,52.65,47.96,8.9,482520.17
2024-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,50.29,48.18,4.21,361605.83
2024-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,9.61,8.19,14.7,309992.25
2024-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,64.72,58.07,10.28,560234.87
2024-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,33.14,29.77,10.17,373333.24
2024-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.63,1.63,0.0,234379.87
2024-T2,Gran Tucumán - Tafí Viejo,Superior Completa,79.84,77.45,3.0,875409.29
2024-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,56.99,50.94,10.61,607447.07
2024-T3,Gran Salta,Primaria Completa,49.48,48.9,1.17,384681.21
2024-T3,Gran Salta,Primaria Incompleta,4.56,4.56,0.0,375340.26
2024-T3,Gran Salta,Secundaria Completa,68.48,64.62,5.65,567359.69
2024-T3,Gran Salta,Secundaria Incompleta,41.07,37.92,7.67,432118.87
2024-T3,Gran Salta,Sin Instrucción,2.25,2.25,0.0,363360.53
2024-T3,Gran Salta,Superior Completa,77.4,74.35,3.94,1051302.3
2024-T3,Gran Salta,Superior Incompleta,53.32,49.68,6.83,644693.68
2024-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,53.98,51.77,4.11,381275.49
2024-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,11.24,10.95,2.59,355632.19
2024-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,64.56,60.19,6.77,558808.91
2024-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.55,35.81,7.12,411610.89
2024-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.58,0.58,0.0,1376574.51
2024-T3,Gran Tucumán - Tafí Viejo,Superior Completa,76.36,72.34,5.26,994472.72
2024-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,56.77,52.29,7.88,655370.76
2024-T4,Gran Salta,Primaria Completa,51.39,48.87,4.9,424551.39
2024-T4,Gran Salta,Primaria Incompleta,7.63,7.63,0.0,560410.09
2024-T4,Gran Salta,Secundaria Completa,70.3,63.95,9.03,636780.09
2024-T4,Gran Salta,Secundaria Incompleta,37.95,35.55,6.32,473860.36
2024-T4,Gran Salta,Sin Instrucción,0.83,0.83,0.0,394052.98
2024-T4,Gran Salta,Superior Completa,79.37,76.34,3.82,1187367.77
2024-T4,Gran Salta,Superior Incompleta,57.06,52.11,8.67,818079.61
2024-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,54.89,52.97,3.49,413648.95
2024-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,9.23,8.61,6.77,318588.67
2024-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,66.17,60.47,8.6,507185.64
2024-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.53,36.11,6.28,410037.82
2024-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.62,1.62,0.0,616054.06
2024-T4,Gran Tucumán - Tafí Viejo,Superior Completa,73.43,69.59,5.23,901792.15
2024-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,58.23,52.83,9.28,652767.44
2025-T1,Gran Salta,Primaria Completa,35.74,33.23,7.01,604154.88
2025-T1,Gran Salta,Primaria Incompleta,6.62,5.58,15.78,381769.25
2025-T1,Gran Salta,Secundaria Completa,69.69,66.49,4.59,697497.65
2025-T1,Gran Salta,Secundaria Incompleta,38.22,35.09,8.2,648311.26
2025-T1,Gran Salta,Sin Instrucción,0.0,0.0,0.0,0.0
2025-T1,Gran Salta,Superior Completa,74.97,71.49,4.64,1207998.68
2025-T1,Gran Salta,Superior Incompleta,52.24,48.95,6.29,821137.66
2025-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,44.35,39.5,10.93,404159.65
2025-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,8.05,6.97,13.5,338640.16
2025-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.83,59.04,10.31,712022.22
2025-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,37.32,34.08,8.68,497762.9
2025-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.56,0.56,0.0,243611.92
2025-T1,Gran Tucumán - Tafí Viejo,Superior Completa,73.84,73.01,1.13,1013237.26
2025-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,62.46,56.52,9.51,850531.5
2025-T2,Gran Salta,Primaria Completa,45.5,43.35,4.73,572239.32
2025-T2,Gran Salta,Primaria Incompleta,5.29,4.56,13.78,231415.01
2025-T2,Gran Salta,Secundaria Completa,70.18,65.06,7.29,695565.76
2025-T2,Gran Salta,Secundaria Incompleta,39.92,36.83,7.74,601923.92
2025-T2,Gran Salta,Sin Instrucción,1.06,1.06,0.0,1109837.37
2025-T2,Gran Salta,Superior Completa,80.01,76.8,4.02,1639496.05
2025-T2,Gran Salta,Superior Incompleta,48.72,45.0,7.64,722182.06
2025-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,47.26,44.9,5.0,532343.14
2025-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.15,11.93,1.76,450742.12
2025-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,68.28,63.48,7.03,651755.95
2025-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.13,37.74,3.54,488082.19
2025-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.43,1.43,0.0,694581.92
2025-T2,Gran Tucumán - Tafí Viejo,Superior Completa,81.11,80.78,0.41,1052361.24
2025-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,57.9,53.1,8.29,762391.24
2025-T3,Gran Salta,Primaria Completa,51.03,47.0,7.91,511240.59
2025-T3,Gran Salta,Primaria Incompleta,3.5,3.5,0.0,457753.59
2025-T3,Gran Salta,Secundaria Completa,69.64,66.84,4.01,700876.88
2025-T3,Gran Salta,Secundaria Incompleta,36.61,33.82,7.61,560371.89
2025-T3,Gran Salta,Sin Instrucción,1.21,1.21,0.0,180824.13
2025-T3,Gran Salta,Superior Completa,71.69,67.89,5.29,1189713.91
2025-T3,Gran Salta,Superior Incompleta,52.4,49.4,5.73,850488.08
2025-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,50.71,47.99,5.37,457052.94
2025-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,13.76,12.74,7.39,435631.41
2025-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,71.13,64.07,9.93,679362.03
2025-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.37,35.8,6.7,515113.67
2025-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.0,0.0,0.0,0.0
2025-T3,Gran Tucumán - Tafí Viejo,Superior Completa,77.16,75.11,2.65,1413365.97
2025-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,62.81,57.23,8.89,792344.81
2025-T4,Gran Salta,Primaria Completa,47.01,43.58,7.3,413428.38
2025-T4,Gran Salta,Primaria Incompleta,5.25,4.42,15.83,568725.63
2025-T4,Gran Salta,Secundaria Completa,70.78,65.98,6.78,709664.06
2025-T4,Gran Salta,Secundaria Incompleta,38.61,37.0,4.17,574452.6
2025-T4,Gran Salta,Sin Instrucción,0.0,0.0,0.0,0.0
2025-T4,Gran Salta,Superior Completa,74.67,72.72,2.6,1188387.3
2025-T4,Gran Salta,Superior Incompleta,53.72,48.96,8.87,1073788.97
2025-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,55.46,52.11,6.05,497546.07
2025-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,7.96,6.58,17.41,605994.03
2025-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,71.84,67.15,6.52,780426.6
2025-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,40.87,37.68,7.81,571304.31
2025-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.7,0.7,0.0,320000.0
2025-T4,Gran Tucumán - Tafí Viejo,Superior Completa,79.48,77.03,3.08,1219626.01
2025-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,57.09,53.79,5.78,670518.46
