Periodo,nom_aglomerado,Nivel_Educativo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2017-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,55.04,51.61,6.23,681781.06
2017-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,11.25,11.16,0.83,560216.19
2017-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,61.69,56.38,8.6,892901.33
2017-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,34.62,31.3,9.6,755128.06
2017-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.35,0.35,0.0,0.0
2017-T2,Gran Tucumán - Tafí Viejo,Superior Completa,76.22,73.58,3.47,1226047.94
2017-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,48.5,43.23,10.87,980798.74
2017-T3,Gran Salta,Primaria Completa,55.57,52.99,4.65,688979.97
2017-T3,Gran Salta,Primaria Incompleta,6.93,6.44,7.05,404521.35
2017-T3,Gran Salta,Secundaria Completa,71.34,66.59,6.65,833543.57
2017-T3,Gran Salta,Secundaria Incompleta,44.44,38.1,14.26,650098.63
2017-T3,Gran Salta,Sin Instrucción,1.73,1.73,0.0,557901.65
2017-T3,Gran Salta,Superior Completa,80.49,76.6,4.84,1749607.41
2017-T3,Gran Salta,Superior Incompleta,61.84,55.13,10.86,905033.85
2017-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,54.4,50.79,6.64,644555.14
2017-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.04,11.27,19.73,576124.39
2017-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.22,59.24,9.17,950388.51
2017-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,32.96,28.96,12.14,683653.91
2017-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.78,0.78,0.0,339392.91
2017-T3,Gran Tucumán - Tafí Viejo,Superior Completa,78.82,76.51,2.93,1361005.95
2017-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,47.0,42.36,9.87,932378.68
2017-T4,Gran Salta,Primaria Completa,54.26,50.13,7.62,598463.01
2017-T4,Gran Salta,Primaria Incompleta,10.15,9.91,2.41,420183.35
