Periodo,nom_aglomerado,Sexo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2020-T3,Gran Salta,Mujer,39.58,35.88,9.35,643240.84
2020-T3,Gran Salta,Varón,50.29,44.04,12.43,858291.37
2020-T3,Gran Tucumán - Tafí Viejo,Mujer,30.76,26.14,15.02,569737.63
2020-T3,Gran Tucumán - Tafí Viejo,Varón,45.06,40.75,9.56,688043.02
2020-T4,Gran Salta,Mujer,38.46,35.46,7.8,692200.7
2020-T4,Gran Salta,Varón,50.88,45.71,10.17,803252.63
2020-T4,Gran Tucumán - Tafí Viejo,Mujer,36.27,32.78,9.62,641208.68
2020-T4,Gran Tucumán - Tafí Viejo,Varón,47.4,42.39,10.57,783672.15
2021-T1,Gran Salta,Mujer,43.24,37.88,12.39,636845.46
2021-T1,Gran Salta,Varón,51.26,46.66,8.96,785745.92
2021-T1,Gran Tucumán - Tafí Viejo,Mujer,36.12,30.06,16.77,569221.5
2021-T1,Gran Tucumán - Tafí Viejo,Varón,51.3,44.1,14.04,770308.58
2021-T2,Gran Salta,Mujer,42.5,36.75,13.53,560269.68
2021-T2,Gran Salta,Varón,51.37,47.39,7.75,759338.56
2021-T2,Gran Tucumán - Tafí Viejo,Mujer,34.4,30.01,12.77,522480.39
2021-T2,Gran Tucumán - Tafí Viejo,Varón,50.6,44.05,12.96,794355.96
2021-T3,Gran Salta,Mujer,39.56,36.36,8.09,567330.93
2021-T3,Gran Salta,Varón,50.9,47.72,6.25,770027.46
2021-T3,Gran Tucumán - Tafí Viejo,Mujer,35.02,31.41,10.32,558283.15
2021-T3,Gran Tucumán - Tafí Viejo,Varón,49.09,44.32,9.71,706357.51
2021-T4,Gran Salta,Mujer,40.63,37.96,6.56,665859.45
2021-T4,Gran Salta,Varón,51.82,48.71,6.0,791225.12
2021-T4,Gran Tucumán - Tafí Viejo,Mujer,34.98,32.11,8.22,557068.75
2021-T4,Gran Tucumán - Tafí Viejo,Varón,49.13,44.55,9.32,742001.28
2022-T1,Gran Salta,Mujer,41.06,37.97,7.53,661364.23
2022-T1,Gran Salta,Varón,53.14,49.79,6.3,843203.47
2022-T1,Gran Tucumán - Tafí Viejo,Mujer,36.31,32.22,11.27,583391.82
2022-T1,Gran Tucumán - Tafí Viejo,Varón,50.98,46.16,9.46,829155.09
2022-T2,Gran Salta,Mujer,43.78,40.64,7.18,618790.9
2022-T2,Gran Salta,Varón,52.36,48.76,6.87,757350.17
2022-T2,Gran Tucumán - Tafí Viejo,Mujer,37.21,34.88,6.25,524734.23
2022-T2,Gran Tucumán - Tafí Viejo,Varón,52.74,48.1,8.8,746871.92
2022-T3,Gran Salta,Mujer,39.87,37.2,6.7,597353.33
2022-T3,Gran Salta,Varón,49.74,45.72,8.08,790713.96
2022-T3,Gran Tucumán - Tafí Viejo,Mujer,34.88,32.11,7.94,466648.67
2022-T3,Gran Tucumán - Tafí Viejo,Varón,49.96,46.56,6.8,686604.16
2022-T4,Gran Salta,Mujer,41.23,38.66,6.22,576885.96
2022-T4,Gran Salta,Varón,52.01,48.86,6.06,756186.96
2022-T4,Gran Tucumán - Tafí Viejo,Mujer,36.3,33.79,6.9,464245.11
2022-T4,Gran Tucumán - Tafí Viejo,Varón,50.54,46.31,8.38,722474.58
2023-T1,Gran Salta,Mujer,42.62,40.3,5.43,675832.2
2023-T1,Gran Salta,Varón,51.24,47.3,7.69,773028.86
2023-T1,Gran Tucumán - Tafí Viejo,Mujer,34.66,32.24,6.97,520244.8
2023-T1,Gran Tucumán - Tafí Viejo,Varón,50.69,47.92,5.46,727804.34
2023-T2,Gran Salta,Mujer,41.28,39.4,4.57,634970.93
2023-T2,Gran Salta,Varón,49.73,47.02,5.46,810684.2
2023-T2,Gran Tucumán - Tafí Viejo,Mujer,36.94,33.85,8.38,520578.84
2023-T2,Gran Tucumán - Tafí Viejo,Varón,52.15,48.75,6.53,670453.08
2023-T3,Gran Salta,Mujer,41.03,39.73,3.18,550307.11
2023-T3,Gran Salta,Varón,50.32,47.17,6.25,750343.81
2023-T3,Gran Tucumán - Tafí Viejo,Mujer,41.27,38.69,6.24,507721.16
2023-T3,Gran Tucumán - Tafí Viejo,Varón,53.85,50.6,6.04,664211.47
2023-T4,Gran Salta,Mujer,43.51,41.49,4.63,511058.69
2023-T4,Gran Salta,Varón,52.89,50.12,5.24,698397.12
2023-T4,Gran Tucumán - Tafí Viejo,Mujer,39.98,37.34,6.61,434732.66
2023-T4,Gran Tucumán - Tafí Viejo,Varón,53.58,50.71,5.35,584195.88
2024-T1,Gran Salta,Mujer,40.96,38.98,4.83,492700.15
2024-T1,Gran Salta,Varón,50.72,47.5,6.36,673055.65
2024-T1,Gran Tucumán - Tafí Viejo,Mujer,36.19,32.62,9.88,382034.11
2024-T1,Gran Tucumán - Tafí Viejo,Varón,50.0,46.14,7.72,507758.89
2024-T2,Gran Salta,Mujer,39.95,37.91,5.11,495050.99
2024-T2,Gran Salta,Varón,51.27,48.29,5.81,704647.96
2024-T2,Gran Tucumán - Tafí Viejo,Mujer,37.3,34.17,8.4,490398.38
2024-T2,Gran Tucumán - Tafí Viejo,Varón,50.82,46.87,7.78,627694.56
2024-T3,Gran Salta,Mujer,40.35,37.87,6.16,543343.74
2024-T3,Gran Salta,Varón,51.26,48.92,4.56,733278.19
2024-T3,Gran Tucumán - Tafí Viejo,Mujer,39.21,36.74,6.29,525422.5
2024-T3,Gran Tucumán - Tafí Viejo,Varón,50.5,47.44,6.07,685539.66
2024-T4,Gran Salta,Mujer,41.42,37.79,8.76,651808.0
2024-T4,Gran Salta,Varón,52.48,49.82,5.08,813984.11
2024-T4,Gran Tucumán - Tafí Viejo,Mujer,38.58,35.36,8.34,444434.9
2024-T4,Gran Tucumán - Tafí Viejo,Varón,49.13,46.42,5.52,671462.15
2025-T1,Gran Salta,Mujer,37.86,35.12,7.25,673840.15
2025-T1,Gran Salta,Varón,52.07,49.53,4.88,919849.0
2025-T1,Gran Tucumán - Tafí Viejo,Mujer,37.62,34.57,8.1,526634.42
2025-T1,Gran Tucumán - Tafí Viejo,Varón,50.69,46.16,8.93,852054.27
2025-T2,Gran Salta,Mujer,38.83,36.22,6.72,777572.73
2025-T2,Gran Salta,Varón,52.44,49.03,6.51,953081.14
2025-T2,Gran Tucumán - Tafí Viejo,Mujer,39.32,36.82,6.36,546264.05
2025-T2,Gran Tucumán - Tafí Viejo,Varón,51.84,49.89,3.75,830680.94
2025-T3,Gran Salta,Mujer,38.68,36.6,5.4,628102.89
2025-T3,Gran Salta,Varón,49.87,47.07,5.62,920865.38
2025-T3,Gran Tucumán - Tafí Viejo,Mujer,39.68,36.21,8.73,657636.84
2025-T3,Gran Tucumán - Tafí Viejo,Varón,52.47,49.54,5.59,879819.7
2025-T4,Gran Salta,Mujer,39.24,36.47,7.07,671537.58
2025-T4,Gran Salta,Varón,52.66,50.06,4.94,959301.82
2025-T4,Gran Tucumán - Tafí Viejo,Mujer,40.48,37.77,6.71,595998.17
2025-T4,Gran Tucumán - Tafí Viejo,Varón,53.75,50.73,5.61,932602.59
